Curry house Jalfrezi,4
1,large aubergine
4 tbsp ,sunflower or olive oil
1,onion
1,red pepper
a small bunch,fresh coriander
5,green bird's-eye chillies
12,cherry tomatoes
3 tbsp ,curry powder
1 tsp ,garam masala
0.25 tsp ,hot chilli powder
8 tbsp ,tomato puree
500g ,cooked basmati rice
1,onion
5cm ,piece fresh ginger
5 cloves,garlic
0.5,fresh red chilli
3,cherry tomatoes
1 tbsp ,sunflower or olive oil
0.25 tsp ,ground coriander
0.25 tsp ,ground cumin
0.25 tsp ,ground fenugreek
0.25 tsp ,ground turmeric
0.25 tsp ,paprika
,
